
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0080,0.0082,0.4535,0.8850,-0.1618,-0.0388,-0.0784,975.8155,-23.1766,-32.8217,-34.2941,166.0000,
0.0800,0.0082,0.4535,0.8850,0.1747,0.1076,0.1245,975.8155,-23.1766,-32.8217,-34.2941,166.0000,
0.0820,0.0082,0.4535,0.8850,0.1747,0.1076,0.1245,975.8155,-23.1766,-32.8217,-34.2941,166.0000,
0.0830,0.0082,0.4535,0.8850,0.1747,0.1076,0.1245,975.8155,-23.1766,-32.8217,-34.2941,153.0000,
0.1210,-0.0007,0.4302,0.9104,0.1747,0.1076,0.1245,975.8155,-23.1766,-32.8217,-34.2941,153.0000,
0.1470,-0.0007,0.4302,0.9104,0.1747,0.1076,0.1245,975.8155,-23.1766,-32.8217,-34.2941,135.0000,
0.1900,-0.0007,0.4302,0.9104,0.1747,0.1076,0.1245,975.8155,-22.1268,-33.1207,-34.7427,135.0000,
0.2010,-0.0007,0.4302,0.9104,0.1747,0.1076,0.1245,975.8418,-22.1268,-33.1207,-34.7427,135.0000,
0.2300,-0.0007,0.4302,0.9104,0.1747,0.1076,0.1245,975.8418,-22.1268,-33.1207,-34.7427,120.0000,
0.2520,-0.0007,0.4302,0.9104,0.1757,0.3308,-0.1788,975.8418,-22.1268,-33.1207,-34.7427,120.0000,
0.2540,-0.0007,0.4302,0.9104,0.1757,0.3308,-0.1788,975.8418,-22.1268,-33.1207,-34.7427,120.0000,
0.3130,-0.0007,0.4302,0.9104,0.1757,0.3308,-0.1788,975.8418,-22.1268,-33.1207,-34.7427,110.0000,
0.3240,-0.0912,0.3890,0.8811,0.1757,0.3308,-0.1788,975.8418,-22.1268,-33.1207,-34.7427,110.0000,
0.3920,-0.0912,0.3890,0.8811,0.1757,0.3308,-0.1788,975.8418,-20.4773,-35.5209,-32.6431,110.0000,
0.4010,-0.0912,0.3890,0.8811,0.1757,0.3308,-0.1788,975.8549,-20.4773,-35.5209,-32.6431,110.0000,
0.4350,-0.0912,0.3890,0.8811,0.1757,0.3308,-0.1788,975.8549,-20.4773,-35.5209,-32.6431,85.0000,
0.4480,-0.0912,0.3890,0.8811,-0.1938,0.4323,0.5379,975.8549,-20.4773,-35.5209,-32.6431,85.0000,
0.4490,-0.0912,0.3890,0.8811,-0.1938,0.4323,0.5379,975.8549,-20.4773,-35.5209,-32.6431,85.0000,
0.5170,-0.0912,0.3890,0.8811,-0.1938,0.4323,0.5379,975.8549,-20.4773,-35.5209,-32.6431,65.0000,
0.5220,-0.1675,0.5211,0.6556,-0.1938,0.4323,0.5379,975.8549,-20.4773,-35.5209,-32.6431,65.0000,
0.6000,-0.1675,0.5211,0.6556,-0.1938,0.4323,0.5379,975.8549,-16.1270,-34.6207,-38.3438,65.0000,
0.6060,-0.1675,0.5211,0.6556,-0.1938,0.4323,0.5379,975.8549,-16.1270,-34.6207,-38.3438,26.0000,
0.6110,-0.1675,0.5211,0.6556,-0.1938,0.4323,0.5379,975.8155,-16.1270,-34.6207,-38.3438,26.0000,
0.6510,-0.1675,0.5211,0.6556,-0.6040,2.8280,-1.3602,975.8155,-16.1270,-34.6207,-38.3438,26.0000,
