
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0550,-0.2666,0.7743,0.5008,-0.2539,-0.3276,0.1867,984.6423,5.1727,-6.5704,-58.4427,0.0000,
0.0590,-0.2666,0.7743,0.5008,-0.2539,-0.3276,0.1867,984.6161,5.1727,-6.5704,-58.4427,0.0000,
0.0840,-0.2217,0.8870,0.5391,-0.2539,-0.3276,0.1867,984.6161,5.1727,-6.5704,-58.4427,0.0000,
0.1280,-0.2217,0.8870,0.5391,-0.0755,-0.2903,0.2080,984.6161,5.1727,-6.5704,-58.4427,0.0000,
0.1290,-0.2217,0.8870,0.5391,-0.0755,-0.2903,0.2080,984.6161,5.1727,-6.5704,-58.4427,0.0000,
0.2500,-0.2217,0.8870,0.5391,-0.0755,-0.2903,0.2080,984.6161,2.7725,-3.2715,-59.3430,0.0000,
0.2650,-0.2217,0.8870,0.5391,-0.0755,-0.2903,0.2080,984.6162,2.7725,-3.2715,-59.3430,0.0000,
0.2840,-0.2120,0.7929,0.5934,-0.0755,-0.2903,0.2080,984.6162,2.7725,-3.2715,-59.3430,0.0000,
0.3290,-0.2120,0.7929,0.5934,0.0623,-0.2005,-0.2245,984.6162,2.7725,-3.2715,-59.3430,0.0000,
0.3310,-0.2120,0.7929,0.5934,0.0623,-0.2005,-0.2245,984.6162,2.7725,-3.2715,-59.3430,0.0000,
0.4550,-0.2120,0.7929,0.5934,0.0623,-0.2005,-0.2245,984.6162,3.5233,-4.3213,-59.0439,0.0000,
0.4650,-0.2120,0.7929,0.5934,0.0623,-0.2005,-0.2245,984.6425,3.5233,-4.3213,-59.0439,0.0000,
0.4880,-0.0890,0.6681,0.6833,0.0623,-0.2005,-0.2245,984.6425,3.5233,-4.3213,-59.0439,0.0000,
0.5330,-0.0890,0.6681,0.6833,0.0623,-0.2005,-0.2245,984.6425,3.5233,-4.3213,-59.0439,0.0000,
0.5360,-0.0890,0.6681,0.6833,-0.2625,-0.3992,-0.6165,984.6425,3.5233,-4.3213,-59.0439,0.0000,
0.6570,-0.0890,0.6681,0.6833,-0.2625,-0.3992,-0.6165,984.6425,-0.0763,-2.5208,-59.6436,0.0000,
0.6690,-0.0890,0.6681,0.6833,-0.2625,-0.3992,-0.6165,984.6426,-0.0763,-2.5208,-59.6436,0.0000,
0.6890,-0.1482,0.7337,0.7019,-0.2625,-0.3992,-0.6165,984.6426,-0.0763,-2.5208,-59.6436,0.0000,
0.7340,-0.1482,0.7337,0.7019,0.8911,-0.1119,-0.1327,984.6426,-0.0763,-2.5208,-59.6436,0.0000,
0.7400,-0.1482,0.7337,0.7019,0.8911,-0.1119,-0.1327,984.6426,-0.0763,-2.5208,-59.6436,0.0000,
0.8600,-0.1482,0.7337,0.7019,0.8911,-0.1119,-0.1327,984.6426,-0.6775,-9.7214,-57.9941,0.0000,
0.8690,-0.1482,0.7337,0.7019,0.8911,-0.1119,-0.1327,984.6426,-0.6775,-9.7214,-57.9941,0.0000,
0.8930,-0.1977,0.9155,0.5883,0.8911,-0.1119,-0.1327,984.6426,-0.6775,-9.7214,-57.9941,0.0000,
0.9300,-0.1977,0.9155,0.5883,0.0847,-0.0916,-0.1776,984.6426,-0.6775,-9.7214,-57.9941,0.0000,
0.9320,-0.1977,0.9155,0.5883,0.0847,-0.0916,-0.1776,984.6426,-0.6775,-9.7214,-57.9941,0.0000,
1.0590,-0.1977,0.9155,0.5883,0.0847,-0.0916,-0.1776,984.6426,-3.5263,-10.3210,-57.6935,0.0000,
1.0690,-0.1977,0.9155,0.5883,0.0847,-0.0916,-0.1776,984.6689,-3.5263,-10.3210,-57.6935,0.0000,
1.0880,-0.3229,0.7191,0.5997,0.0847,-0.0916,-0.1776,984.6689,-3.5263,-10.3210,-57.6935,0.0000,
1.1330,-0.3229,0.7191,0.5997,0.4884,0.0644,0.1482,984.6689,-3.5263,-10.3210,-57.6935,0.0000,
1.1360,-0.3229,0.7191,0.5997,0.4884,0.0644,0.1482,984.6689,-3.5263,-10.3210,-57.6935,0.0000,
1.2600,-0.3229,0.7191,0.5997,0.4884,0.0644,0.1482,984.6689,-4.2770,-9.4208,-57.9941,0.0000,
