
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0110,-0.1630,0.5939,0.9574,-0.5904,0.6892,0.1450,984.7739,-14.4775,-38.6703,-25.7431,0.0000,
0.0270,-0.1630,0.5939,0.9574,-0.5904,0.6892,0.1450,984.6821,-14.4775,-38.6703,-25.7431,0.0000,
0.0750,-0.1630,0.5939,0.9574,-0.1791,0.7565,0.5125,984.6821,-14.4775,-38.6703,-25.7431,0.0000,
0.0770,-0.1630,0.5939,0.9574,-0.1791,0.7565,0.5125,984.6821,-14.4775,-38.6703,-25.7431,0.0000,
0.1350,-0.1605,0.4892,0.6874,-0.1791,0.7565,0.5125,984.6821,-14.4775,-38.6703,-25.7431,0.0000,
0.2000,-0.1605,0.4892,0.6874,-0.1791,0.7565,0.5125,984.6821,-16.4276,-36.1206,-27.5436,0.0000,
0.2090,-0.1605,0.4892,0.6874,-0.1791,0.7565,0.5125,984.7477,-16.4276,-36.1206,-27.5436,0.0000,
0.2460,-0.1605,0.4892,0.6874,-0.1311,0.2385,0.5253,984.7477,-16.4276,-36.1206,-27.5436,0.0000,
0.2480,-0.1605,0.4892,0.6874,-0.1311,0.2385,0.5253,984.7477,-16.4276,-36.1206,-27.5436,0.0000,
0.3350,0.0512,0.6888,0.6169,-0.1311,0.2385,0.5253,984.7477,-16.4276,-36.1206,-27.5436,0.0000,
0.4020,0.0512,0.6888,0.6169,-0.1311,0.2385,0.5253,984.7477,-18.9774,-34.0210,-29.7928,0.0000,
0.4120,0.0512,0.6888,0.6169,-0.1311,0.2385,0.5253,984.6953,-18.9774,-34.0210,-29.7928,0.0000,
0.4460,0.0512,0.6888,0.6169,-0.3436,0.0078,0.0596,984.6953,-18.9774,-34.0210,-29.7928,0.0000,
0.4470,0.0512,0.6888,0.6169,-0.3436,0.0078,0.0596,984.6953,-18.9774,-34.0210,-29.7928,0.0000,
0.5410,0.0208,0.6707,1.0091,-0.3436,0.0078,0.0596,984.6953,-18.9774,-34.0210,-29.7928,0.0000,
0.6050,0.0208,0.6707,1.0091,-0.3436,0.0078,0.0596,984.6953,-19.2764,-34.0210,-31.5933,0.0000,
0.6150,0.0208,0.6707,1.0091,-0.3436,0.0078,0.0596,984.6821,-19.2764,-34.0210,-31.5933,0.0000,
0.6490,0.0208,0.6707,1.0091,-0.1289,-0.1151,-0.3068,984.6821,-19.2764,-34.0210,-31.5933,0.0000,
0.6520,0.0208,0.6707,1.0091,-0.1289,-0.1151,-0.3068,984.6821,-19.2764,-34.0210,-31.5933,0.0000,
0.7440,0.1089,0.5077,0.7172,-0.1289,-0.1151,-0.3068,984.6821,-19.2764,-34.0210,-31.5933,0.0000,
0.8100,0.1089,0.5077,0.7172,-0.1289,-0.1151,-0.3068,984.6821,-16.8762,-35.9711,-29.0436,0.0000,
0.8200,0.1089,0.5077,0.7172,-0.1289,-0.1151,-0.3068,984.7478,-16.8762,-35.9711,-29.0436,0.0000,
0.8510,0.1089,0.5077,0.7172,-0.0414,-0.1535,-0.4638,984.7478,-16.8762,-35.9711,-29.0436,0.0000,
0.8570,0.1089,0.5077,0.7172,-0.0414,-0.1535,-0.4638,984.7478,-16.8762,-35.9711,-29.0436,0.0000,
0.9440,-0.0064,0.6552,0.7346,-0.0414,-0.1535,-0.4638,984.7478,-16.8762,-35.9711,-29.0436,0.0000,
1.0100,-0.0064,0.6552,0.7346,-0.0414,-0.1535,-0.4638,984.7478,-16.4276,-37.3215,-27.0935,0.0000,
1.0190,-0.0064,0.6552,0.7346,-0.0414,-0.1535,-0.4638,984.6954,-16.4276,-37.3215,-27.0935,0.0000,
