
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0550,-0.1480,0.9949,0.6159,0.3229,-0.3116,-0.1113,984.8774,1.1230,-42.8711,-10.5942,0.0000,
0.0570,-0.1480,0.9949,0.6159,0.3229,-0.3116,-0.1113,984.8773,1.1230,-42.8711,-10.5942,0.0000,
0.0970,-0.1480,0.9949,0.6159,0.1862,-0.2294,-0.1476,984.8773,1.1230,-42.8711,-10.5942,0.0000,
0.0980,-0.1480,0.9949,0.6159,0.1862,-0.2294,-0.1476,984.8773,1.1230,-42.8711,-10.5942,0.0000,
0.1410,0.0643,0.7709,0.5974,0.1862,-0.2294,-0.1476,984.8773,1.1230,-42.8711,-10.5942,0.0000,
0.2400,0.0643,0.7709,0.5974,0.1862,-0.2294,-0.1476,984.8773,3.6728,-42.2714,-11.1938,0.0000,
0.2500,0.0643,0.7709,0.5974,0.1862,-0.2294,-0.1476,984.8643,3.6728,-42.2714,-11.1938,0.0000,
0.2970,0.0643,0.7709,0.5974,0.2556,-0.0894,-0.3314,984.8643,3.6728,-42.2714,-11.1938,0.0000,
0.2980,0.0643,0.7709,0.5974,0.2556,-0.0894,-0.3314,984.8643,3.6728,-42.2714,-11.1938,0.0000,
0.3440,0.0074,0.7294,0.4241,0.2556,-0.0894,-0.3314,984.8643,3.6728,-42.2714,-11.1938,0.0000,
0.4430,0.0074,0.7294,0.4241,0.2556,-0.0894,-0.3314,984.8643,5.0232,-42.1204,-10.5942,0.0000,
0.4530,0.0074,0.7294,0.4241,0.2556,-0.0894,-0.3314,984.8774,5.0232,-42.1204,-10.5942,0.0000,
0.4970,0.0074,0.7294,0.4241,0.2737,0.0120,-0.0921,984.8774,5.0232,-42.1204,-10.5942,0.0000,
0.4990,0.0074,0.7294,0.4241,0.2737,0.0120,-0.0921,984.8774,5.0232,-42.1204,-10.5942,0.0000,
0.5420,-0.1436,1.0591,0.6602,0.2737,0.0120,-0.0921,984.8774,5.0232,-42.1204,-10.5942,0.0000,
0.6480,-0.1436,1.0591,0.6602,0.2737,0.0120,-0.0921,984.8774,4.5731,-42.2714,-9.0927,0.0000,
0.6580,-0.1436,1.0591,0.6602,0.2737,0.0120,-0.0921,984.8643,4.5731,-42.2714,-9.0927,0.0000,
0.7030,-0.1436,1.0591,0.6602,-0.2304,0.1167,0.1343,984.8643,4.5731,-42.2714,-9.0927,0.0000,
0.7080,-0.1436,1.0591,0.6602,-0.2304,0.1167,0.1343,984.8643,4.5731,-42.2714,-9.0927,0.0000,
0.7470,-0.1564,0.7100,0.5172,-0.2304,0.1167,0.1343,984.8643,4.5731,-42.2714,-9.0927,0.0000,
0.8480,-0.1564,0.7100,0.5172,-0.2304,0.1167,0.1343,984.8643,2.3224,-43.0206,-10.4431,0.0000,
0.8580,-0.1564,0.7100,0.5172,-0.2304,0.1167,0.1343,984.9037,2.3224,-43.0206,-10.4431,0.0000,
0.9070,-0.1564,0.7100,0.5172,-0.0552,0.0590,0.1557,984.9037,2.3224,-43.0206,-10.4431,0.0000,
0.9120,-0.1564,0.7100,0.5172,-0.0552,0.0590,0.1557,984.9037,2.3224,-43.0206,-10.4431,0.0000,
0.9480,-0.0692,0.8119,0.4372,-0.0552,0.0590,0.1557,984.9037,2.3224,-43.0206,-10.4431,0.0000,
1.0500,-0.0692,0.8119,0.4372,-0.0552,0.0590,0.1557,984.9037,1.8738,-42.2714,-10.1440,0.0000,
1.0600,-0.0692,0.8119,0.4372,-0.0552,0.0590,0.1557,984.9037,1.8738,-42.2714,-10.1440,0.0000,
1.1040,-0.0692,0.8119,0.4372,-0.0093,0.0387,-0.0718,984.9037,1.8738,-42.2714,-10.1440,0.0000,
1.1090,-0.0692,0.8119,0.4372,-0.0093,0.0387,-0.0718,984.9037,1.8738,-42.2714,-10.1440,0.0000,
1.1540,-0.0048,0.9916,0.7633,-0.0093,0.0387,-0.0718,984.9037,1.8738,-42.2714,-10.1440,0.0000,
1.2460,-0.0048,0.9916,0.7633,-0.0093,0.0387,-0.0718,984.9037,3.5233,-42.2714,-11.3434,0.0000,
1.2570,-0.0048,0.9916,0.7633,-0.0093,0.0387,-0.0718,984.8774,3.5233,-42.2714,-11.3434,0.0000,
1.2990,-0.0048,0.9916,0.7633,-0.4205,-0.4622,-0.4083,984.8774,3.5233,-42.2714,-11.3434,0.0000,
1.3000,-0.0048,0.9916,0.7633,-0.4205,-0.4622,-0.4083,984.8774,3.5233,-42.2714,-11.3434,0.0000,
1.3460,0.0260,0.6679,0.4398,-0.4205,-0.4622,-0.4083,984.8774,3.5233,-42.2714,-11.3434,0.0000,
1.4520,0.0260,0.6679,0.4398,-0.4205,-0.4622,-0.4083,984.8774,6.8237,-41.6702,-12.3932,0.0000,
1.4620,0.0260,0.6679,0.4398,-0.4205,-0.4622,-0.4083,984.8382,6.8237,-41.6702,-12.3932,0.0000,
1.5040,0.0260,0.6679,0.4398,-0.0414,-0.0435,0.1076,984.8382,6.8237,-41.6702,-12.3932,0.0000,
1.5070,0.0260,0.6679,0.4398,-0.0414,-0.0435,0.1076,984.8382,6.8237,-41.6702,-12.3932,0.0000,
1.5490,-0.0661,0.8998,0.6051,-0.0414,-0.0435,0.1076,984.8382,6.8237,-41.6702,-12.3932,0.0000,
1.6520,-0.0661,0.8998,0.6051,-0.0414,-0.0435,0.1076,984.8382,5.7724,-42.2714,-12.2437,0.0000,
1.6620,-0.0661,0.8998,0.6051,-0.0414,-0.0435,0.1076,984.8774,5.7724,-42.2714,-12.2437,0.0000,
1.7080,-0.0661,0.8998,0.6051,0.2641,0.0590,-0.0088,984.8774,5.7724,-42.2714,-12.2437,0.0000,
1.7130,-0.0661,0.8998,0.6051,0.2641,0.0590,-0.0088,984.8774,5.7724,-42.2714,-12.2437,0.0000,
1.7780,-0.1523,0.8570,0.6818,0.2641,0.0590,-0.0088,984.8774,5.7724,-42.2714,-12.2437,0.0000,
1.8520,-0.1523,0.8570,0.6818,0.2641,0.0590,-0.0088,984.8774,4.2725,-42.5705,-12.0941,0.0000,
1.8640,-0.1523,0.8570,0.6818,0.2641,0.0590,-0.0088,984.9299,4.2725,-42.5705,-12.0941,0.0000,
1.9020,-0.1523,0.8570,0.6818,-0.1108,-0.0980,0.2679,984.9299,4.2725,-42.5705,-12.0941,0.0000,
1.9030,-0.1523,0.8570,0.6818,-0.1108,-0.0980,0.2679,984.9299,4.2725,-42.5705,-12.0941,0.0000,
1.9470,-0.0672,0.6543,0.4245,-0.1108,-0.0980,0.2679,984.9299,4.2725,-42.5705,-12.0941,0.0000,
2.0530,-0.0672,0.6543,0.4245,-0.1108,-0.0980,0.2679,984.9299,3.8223,-42.5705,-13.5941,0.0000,
2.0660,-0.0672,0.6543,0.4245,-0.1108,-0.0980,0.2679,984.9037,3.8223,-42.5705,-13.5941,0.0000,
2.1020,-0.0672,0.6543,0.4245,-0.0713,-0.2903,-0.1765,984.9037,3.8223,-42.5705,-13.5941,0.0000,
2.1030,-0.0672,0.6543,0.4245,-0.0713,-0.2903,-0.1765,984.9037,3.8223,-42.5705,-13.5941,0.0000,
2.1540,-0.0220,1.0317,0.7514,-0.0713,-0.2903,-0.1765,984.9037,3.8223,-42.5705,-13.5941,0.0000,
2.2540,-0.0220,1.0317,0.7514,-0.0713,-0.2903,-0.1765,984.9037,5.3223,-42.4210,-12.9929,0.0000,
2.2630,-0.0220,1.0317,0.7514,-0.0713,-0.2903,-0.1765,984.9038,5.3223,-42.4210,-12.9929,0.0000,
2.3040,-0.0220,1.0317,0.7514,-0.1300,-0.0115,-0.2854,984.9038,5.3223,-42.4210,-12.9929,0.0000,
2.3050,-0.0220,1.0317,0.7514,-0.1300,-0.0115,-0.2854,984.9038,5.3223,-42.4210,-12.9929,0.0000,
2.3480,0.0826,0.6468,0.5769,-0.1300,-0.0115,-0.2854,984.9038,5.3223,-42.4210,-12.9929,0.0000,
2.4540,0.0826,0.6468,0.5769,-0.1300,-0.0115,-0.2854,984.9038,8.7723,-42.2714,-15.3931,0.0000,
2.4660,0.0826,0.6468,0.5769,-0.1300,-0.0115,-0.2854,984.8776,8.7723,-42.2714,-15.3931,0.0000,
2.5040,0.0826,0.6468,0.5769,0.0121,-0.2027,-0.3068,984.8776,8.7723,-42.2714,-15.3931,0.0000,
2.5060,0.0826,0.6468,0.5769,0.0121,-0.2027,-0.3068,984.8776,8.7723,-42.2714,-15.3931,0.0000,
2.5510,-0.0108,0.7368,0.4816,0.0121,-0.2027,-0.3068,984.8776,8.7723,-42.2714,-15.3931,0.0000,
2.6610,-0.0108,0.7368,0.4816,0.0121,-0.2027,-0.3068,984.8776,8.6227,-42.2714,-16.7435,0.0000,
2.6710,-0.0108,0.7368,0.4816,0.0121,-0.2027,-0.3068,984.8776,8.6227,-42.2714,-16.7435,0.0000,
2.7090,-0.0108,0.7368,0.4816,-0.0830,-0.0820,0.2262,984.8776,8.6227,-42.2714,-16.7435,0.0000,
2.7140,-0.0108,0.7368,0.4816,-0.0830,-0.0820,0.2262,984.8776,8.6227,-42.2714,-16.7435,0.0000,
2.7530,-0.0725,0.9003,0.9669,-0.0830,-0.0820,0.2262,984.8776,8.6227,-42.2714,-16.7435,0.0000,
2.8620,-0.0725,0.9003,0.9669,-0.0830,-0.0820,0.2262,984.8776,7.4234,-41.8213,-15.8432,0.0000,
2.8720,-0.0725,0.9003,0.9669,-0.0830,-0.0820,0.2262,984.8776,7.4234,-41.8213,-15.8432,0.0000,
2.9100,-0.0725,0.9003,0.9669,0.0046,0.4574,0.0713,984.8776,7.4234,-41.8213,-15.8432,0.0000,
2.9140,-0.0725,0.9003,0.9669,0.0046,0.4574,0.0713,984.8776,7.4234,-41.8213,-15.8432,0.0000,
2.9530,-0.1044,0.5785,0.4753,0.0046,0.4574,0.0713,984.8776,7.4234,-41.8213,-15.8432,0.0000,
3.0710,-0.1044,0.5785,0.4753,0.0046,0.4574,0.0713,984.8776,6.6727,-42.2714,-15.8432,0.0000,
3.0750,-0.1044,0.5785,0.4753,0.0046,0.4574,0.0713,984.9039,6.6727,-42.2714,-15.8432,0.0000,
3.1050,-0.1044,0.5785,0.4753,-0.1749,0.1989,0.1301,984.9039,6.6727,-42.2714,-15.8432,0.0000,
3.1070,-0.1044,0.5785,0.4753,-0.1749,0.1989,0.1301,984.9039,6.6727,-42.2714,-15.8432,0.0000,
3.1510,-0.1048,0.8251,0.6265,-0.1749,0.1989,0.1301,984.9039,6.6727,-42.2714,-15.8432,0.0000,
3.2610,-0.1048,0.8251,0.6265,-0.1749,0.1989,0.1301,984.9039,5.0232,-43.0206,-14.6439,0.0000,
3.2710,-0.1048,0.8251,0.6265,-0.1749,0.1989,0.1301,984.9039,5.0232,-43.0206,-14.6439,0.0000,
3.3060,-0.1048,0.8251,0.6265,0.3528,-0.2657,0.1012,984.9039,5.0232,-43.0206,-14.6439,0.0000,
3.3070,-0.1048,0.8251,0.6265,0.3528,-0.2657,0.1012,984.9039,5.0232,-43.0206,-14.6439,0.0000,
3.3540,0.1058,0.8600,0.8165,0.3528,-0.2657,0.1012,984.9039,5.0232,-43.0206,-14.6439,0.0000,
3.4660,0.1058,0.8600,0.8165,0.3528,-0.2657,0.1012,984.9039,7.4234,-42.8711,-15.0940,0.0000,
3.4740,0.1058,0.8600,0.8165,0.3528,-0.2657,0.1012,984.9301,7.4234,-42.8711,-15.0940,0.0000,
3.5090,0.1058,0.8600,0.8165,-0.3682,-0.1984,-0.5578,984.9301,7.4234,-42.8711,-15.0940,0.0000,
3.5130,0.1058,0.8600,0.8165,-0.3682,-0.1984,-0.5578,984.9301,7.4234,-42.8711,-15.0940,0.0000,
3.5550,0.0031,0.6232,0.4591,-0.3682,-0.1984,-0.5578,984.9301,7.4234,-42.8711,-15.0940,0.0000,
3.6680,0.0031,0.6232,0.4591,-0.3682,-0.1984,-0.5578,984.9301,9.5230,-41.9708,-14.6439,0.0000,
3.6770,0.0031,0.6232,0.4591,-0.3682,-0.1984,-0.5578,984.9039,9.5230,-41.9708,-14.6439,0.0000,
3.7140,0.0031,0.6232,0.4591,0.2887,0.2823,0.1172,984.9039,9.5230,-41.9708,-14.6439,0.0000,
3.7170,0.0031,0.6232,0.4591,0.2887,0.2823,0.1172,984.9039,9.5230,-41.9708,-14.6439,0.0000,
3.7940,-0.1295,0.9199,0.6397,0.2887,0.2823,0.1172,984.9039,9.5230,-41.9708,-14.6439,0.0000,
3.8660,-0.1295,0.9199,0.6397,0.2887,0.2823,0.1172,984.9039,7.4234,-43.0206,-13.5941,0.0000,
3.8760,-0.1295,0.9199,0.6397,0.2887,0.2823,0.1172,984.9039,7.4234,-43.0206,-13.5941,0.0000,
3.9100,-0.1295,0.9199,0.6397,0.0697,0.1487,0.2070,984.9039,7.4234,-43.0206,-13.5941,0.0000,
3.9120,-0.1295,0.9199,0.6397,0.0697,0.1487,0.2070,984.9039,7.4234,-43.0206,-13.5941,0.0000,
3.9570,-0.1671,0.7588,0.7049,0.0697,0.1487,0.2070,984.9039,7.4234,-43.0206,-13.5941,0.0000,
4.0700,-0.1671,0.7588,0.7049,0.0697,0.1487,0.2070,984.9039,4.7226,-42.7216,-16.2933,0.0000,
4.0810,-0.1671,0.7588,0.7049,0.0697,0.1487,0.2070,984.9039,4.7226,-42.7216,-16.2933,0.0000,
4.1090,-0.1671,0.7588,0.7049,-0.0253,0.1167,0.3800,984.9039,4.7226,-42.7216,-16.2933,0.0000,
4.1100,-0.1671,0.7588,0.7049,-0.0253,0.1167,0.3800,984.9039,4.7226,-42.7216,-16.2933,0.0000,
4.1550,-0.0540,0.6656,0.5049,-0.0253,0.1167,0.3800,984.9039,4.7226,-42.7216,-16.2933,0.0000,
4.2710,-0.0540,0.6656,0.5049,-0.0253,0.1167,0.3800,984.9039,1.5732,-43.1717,-14.6439,0.0000,
4.2820,-0.0540,0.6656,0.5049,-0.0253,0.1167,0.3800,984.9301,1.5732,-43.1717,-14.6439,0.0000,
4.3150,-0.0540,0.6656,0.5049,-0.0253,0.1167,0.3800,984.9301,1.5732,-43.1717,-14.6439,0.0000,
4.3190,-0.0540,0.6656,0.5049,0.1167,-0.1525,0.2807,984.9301,1.5732,-43.1717,-14.6439,0.0000,
4.3600,-0.0124,0.9652,0.8181,0.1167,-0.1525,0.2807,984.9301,1.5732,-43.1717,-14.6439,0.0000,
4.4730,-0.0124,0.9652,0.8181,0.1167,-0.1525,0.2807,984.9301,2.3224,-42.8711,-13.5941,0.0000,
4.4840,-0.0124,0.9652,0.8181,0.1167,-0.1525,0.2807,984.9039,2.3224,-42.8711,-13.5941,0.0000,
4.5160,-0.0124,0.9652,0.8181,-0.1727,0.1295,-0.4489,984.9039,2.3224,-42.8711,-13.5941,0.0000,
4.5200,-0.0124,0.9652,0.8181,-0.1727,0.1295,-0.4489,984.9039,2.3224,-42.8711,-13.5941,0.0000,
4.5560,0.1030,0.6484,0.5533,-0.1727,0.1295,-0.4489,984.9039,2.3224,-42.8711,-13.5941,0.0000,
4.6730,0.1030,0.6484,0.5533,-0.1727,0.1295,-0.4489,984.9039,5.7724,-42.5705,-16.7435,0.0000,
4.6850,0.1030,0.6484,0.5533,-0.1727,0.1295,-0.4489,984.9039,5.7724,-42.5705,-16.7435,0.0000,
4.7130,0.1030,0.6484,0.5533,0.0879,0.1178,-0.2715,984.9039,5.7724,-42.5705,-16.7435,0.0000,
4.7160,0.1030,0.6484,0.5533,0.0879,0.1178,-0.2715,984.9039,5.7724,-42.5705,-16.7435,0.0000,
4.7590,0.0114,0.6882,0.5853,0.0879,0.1178,-0.2715,984.9039,5.7724,-42.5705,-16.7435,0.0000,
4.8780,0.0114,0.6882,0.5853,0.0879,0.1178,-0.2715,984.9039,7.4234,-42.5705,-15.6937,0.0000,
4.8870,0.0114,0.6882,0.5853,0.0879,0.1178,-0.2715,984.9039,7.4234,-42.5705,-15.6937,0.0000,
4.9150,0.0114,0.6882,0.5853,0.0879,0.1178,-0.2715,984.9039,7.4234,-42.5705,-15.6937,0.0000,
4.9200,0.0114,0.6882,0.5853,-0.3490,0.3495,-0.2384,984.9039,7.4234,-42.5705,-15.6937,0.0000,
4.9600,-0.1543,0.8987,0.9112,-0.3490,0.3495,-0.2384,984.9039,7.4234,-42.5705,-15.6937,0.0000,
