
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0110,-0.1894,0.0704,0.9303,0.2646,0.5653,1.6974,974.8011,25.8728,2.4292,-20.3430,189.0000,
0.0130,-0.1894,0.0704,0.9303,0.2646,0.5653,1.6974,974.8011,29.1733,-8.6716,-16.7435,189.0000,
0.0170,-0.1894,0.0704,0.9303,0.2646,0.5653,1.6974,974.7750,29.1733,-8.6716,-16.7435,189.0000,
0.0180,-0.1894,0.0704,0.9303,0.2646,0.5653,1.6974,974.7750,29.1733,-8.6716,-16.7435,189.0000,
0.0190,-0.1894,0.0704,0.9303,-0.1178,0.6134,2.2464,974.7750,29.1733,-8.6716,-16.7435,189.0000,
0.0210,-0.1894,0.0704,0.9303,-0.1178,0.6134,2.2464,974.7750,29.1733,-8.6716,-16.7435,179.0000,
0.0740,-0.1894,0.0704,0.9303,-0.1178,0.6134,2.2464,974.7750,29.1733,-8.6716,-16.7435,186.0000,
0.1140,-0.0754,0.0764,0.9657,-0.1178,0.6134,2.2464,974.7750,29.1733,-8.6716,-16.7435,186.0000,
0.1460,-0.0754,0.0764,0.9657,-0.1178,0.6134,2.2464,974.7750,26.9226,-18.1213,-14.7934,186.0000,
0.1540,-0.0754,0.0764,0.9657,-0.3720,0.1049,1.5019,974.7750,26.9226,-18.1213,-14.7934,186.0000,
0.1570,-0.0754,0.0764,0.9657,-0.3720,0.1049,1.5019,974.7750,26.9226,-18.1213,-14.7934,186.0000,
0.1590,-0.0754,0.0764,0.9657,-0.3720,0.1049,1.5019,974.8014,26.9226,-18.1213,-14.7934,186.0000,
0.1970,-0.0754,0.0764,0.9657,-0.3720,0.1049,1.5019,974.8014,26.9226,-18.1213,-14.7934,200.0000,
0.2810,-0.0754,0.0764,0.9657,-0.3720,0.1049,1.5019,974.8014,26.9226,-18.1213,-14.7934,203.0000,
0.3120,-0.0286,0.2077,1.0009,-0.3720,0.1049,1.5019,974.8014,26.9226,-18.1213,-14.7934,203.0000,
0.3490,-0.0286,0.2077,1.0009,-0.3720,0.1049,1.5019,974.8014,23.3231,-24.1211,-14.6439,203.0000,
0.3530,-0.0286,0.2077,1.0009,-0.3720,0.1049,1.5019,974.8014,23.3231,-24.1211,-14.6439,203.0000,
0.3540,-0.0286,0.2077,1.0009,0.1183,0.0120,1.0555,974.8014,23.3231,-24.1211,-14.6439,203.0000,
0.3570,-0.0286,0.2077,1.0009,0.1183,0.0120,1.0555,974.8279,23.3231,-24.1211,-14.6439,203.0000,
0.3630,-0.0286,0.2077,1.0009,0.1183,0.0120,1.0555,974.8279,23.3231,-24.1211,-14.6439,214.0000,
0.4460,-0.0286,0.2077,1.0009,0.1183,0.0120,1.0555,974.8279,23.3231,-24.1211,-14.6439,219.0000,
0.5110,-0.0274,0.2761,0.9182,0.1183,0.0120,1.0555,974.8279,23.3231,-24.1211,-14.6439,219.0000,
0.5580,-0.0274,0.2761,0.9182,0.1183,0.0120,1.0555,974.8279,21.6736,-28.4714,-12.8433,219.0000,
0.5630,-0.0274,0.2761,0.9182,0.2646,0.1210,0.5139,974.8279,21.6736,-28.4714,-12.8433,219.0000,
0.5680,-0.0274,0.2761,0.9182,0.2646,0.1210,0.5139,974.8279,21.6736,-28.4714,-12.8433,219.0000,
0.5720,-0.0274,0.2761,0.9182,0.2646,0.1210,0.5139,974.7361,21.6736,-28.4714,-12.8433,219.0000,
0.5760,-0.0274,0.2761,0.9182,0.2646,0.1210,0.5139,974.7361,21.6736,-28.4714,-12.8433,221.0000,
0.6570,-0.0274,0.2761,0.9182,0.2646,0.1210,0.5139,974.7361,21.6736,-28.4714,-12.8433,228.0000,
0.7130,0.0059,0.3376,0.9174,0.2646,0.1210,0.5139,974.7361,21.6736,-28.4714,-12.8433,228.0000,
0.7430,0.0059,0.3376,0.9174,0.2646,0.1210,0.5139,974.7361,21.6736,-28.4714,-12.8433,233.0000,
0.7550,0.0059,0.3376,0.9174,0.2646,0.1210,0.5139,974.7361,21.6736,-28.4714,-12.8433,233.0000,
0.7570,0.0059,0.3376,0.9174,0.2091,-0.1963,0.0269,974.7361,21.6736,-28.4714,-12.8433,233.0000,
0.7590,0.0059,0.3376,0.9174,0.2091,-0.1963,0.0269,974.7361,19.7235,-29.9713,-13.2935,233.0000,
0.7610,0.0059,0.3376,0.9174,0.2091,-0.1963,0.0269,974.7756,19.7235,-29.9713,-13.2935,233.0000,
0.8220,0.0059,0.3376,0.9174,0.2091,-0.1963,0.0269,974.7756,19.7235,-29.9713,-13.2935,241.0000,
0.9060,0.0059,0.3376,0.9174,0.2091,-0.1963,0.0269,974.7756,19.7235,-29.9713,-13.2935,244.0000,
0.9120,0.0638,0.2964,0.9760,0.2091,-0.1963,0.0269,974.7756,19.7235,-29.9713,-13.2935,244.0000,
0.9530,0.0638,0.2964,0.9760,0.0969,-0.0104,-0.2722,974.7756,19.7235,-29.9713,-13.2935,244.0000,
0.9610,0.0638,0.2964,0.9760,0.0969,-0.0104,-0.2722,974.7756,19.7235,-29.9713,-13.2935,244.0000,
0.9720,0.0638,0.2964,0.9760,0.0969,-0.0104,-0.2722,974.7756,21.9727,-28.4714,-13.4430,244.0000,
0.9770,0.0638,0.2964,0.9760,0.0969,-0.0104,-0.2722,974.8021,21.9727,-28.4714,-13.4430,244.0000,
1.0700,0.0638,0.2964,0.9760,0.0969,-0.0104,-0.2722,974.8021,21.9727,-28.4714,-13.4430,247.0000,
1.1110,0.0237,0.2311,0.9865,0.0969,-0.0104,-0.2722,974.8021,21.9727,-28.4714,-13.4430,247.0000,
1.1520,0.0237,0.2311,0.9865,0.3415,-0.0382,-0.1814,974.8021,21.9727,-28.4714,-13.4430,247.0000,
1.1580,0.0237,0.2311,0.9865,0.3415,-0.0382,-0.1814,974.8021,21.9727,-28.4714,-13.4430,247.0000,
1.1600,0.0237,0.2311,0.9865,0.3415,-0.0382,-0.1814,974.8021,23.3231,-28.1708,-12.9929,247.0000,
1.1630,0.0237,0.2311,0.9865,0.3415,-0.0382,-0.1814,974.7759,23.3231,-28.1708,-12.9929,247.0000,
1.1890,0.0237,0.2311,0.9865,0.3415,-0.0382,-0.1814,974.7759,23.3231,-28.1708,-12.9929,241.0000,
1.2720,0.0237,0.2311,0.9865,0.3415,-0.0382,-0.1814,974.7759,23.3231,-28.1708,-12.9929,234.0000,
1.3100,0.0339,0.2900,0.9055,0.3415,-0.0382,-0.1814,974.7759,23.3231,-28.1708,-12.9929,234.0000,
1.3940,0.0339,0.2900,0.9055,0.3415,-0.0382,-0.1814,974.7759,23.3231,-28.1708,-12.9929,234.0000,
1.3950,0.0339,0.2900,0.9055,0.0980,0.3431,0.3110,974.7759,23.3231,-28.1708,-12.9929,234.0000,
1.3970,0.0339,0.2900,0.9055,0.0980,0.3431,0.3110,974.7759,23.3231,-28.1708,-12.9929,229.0000,
