
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0390,0.0642,0.4674,0.9910,-0.5215,-0.0927,-0.3015,986.7338,-12.3550,-5.1437,-46.7087,0.0000,
0.0760,-0.0385,0.3536,0.9282,-0.5215,-0.0927,-0.3015,986.7338,-12.3550,-5.1437,-46.7087,0.0000,
0.0780,-0.0385,0.3536,0.9282,-0.5215,-0.0927,-0.3015,986.7338,-12.3550,-5.1437,-46.7087,0.0000,
0.0790,-0.0385,0.3536,0.9282,0.2038,0.3357,-0.3901,986.7338,-12.3550,-5.1437,-46.7087,0.0000,
0.0880,-0.0385,0.3536,0.9282,0.2038,0.3357,-0.3901,986.7996,-12.3550,-5.1437,-46.7087,0.0000,
0.2360,-0.0385,0.3536,0.9282,0.2038,0.3357,-0.3901,986.7996,-9.8083,-10.1471,-47.3907,0.0000,
0.2720,-0.0385,0.3536,0.9282,0.2038,0.3357,-0.3901,986.7996,-9.8083,-10.1471,-47.3907,0.0000,
0.2740,-0.0468,0.3664,0.8159,0.2038,0.3357,-0.3901,986.7996,-9.8083,-10.1471,-47.3907,0.0000,
0.2770,-0.0468,0.3664,0.8159,0.7507,0.1861,-0.0280,986.7996,-9.8083,-10.1471,-47.3907,0.0000,
0.2890,-0.0468,0.3664,0.8159,0.7507,0.1861,-0.0280,986.7341,-9.8083,-10.1471,-47.3907,0.0000,
0.4370,-0.0468,0.3664,0.8159,0.7507,0.1861,-0.0280,986.7341,-10.5728,-7.5134,-47.4075,0.0000,
0.4710,-0.1920,0.5082,0.9493,0.7507,0.1861,-0.0280,986.7341,-10.5728,-7.5134,-47.4075,0.0000,
0.4720,-0.1920,0.5082,0.9493,-0.8547,-0.2935,0.0318,986.7341,-10.5728,-7.5134,-47.4075,0.0000,
0.4730,-0.1920,0.5082,0.9493,-0.8547,-0.2935,0.0318,986.7341,-10.5728,-7.5134,-47.4075,0.0000,
0.4880,-0.1920,0.5082,0.9493,-0.8547,-0.2935,0.0318,986.7603,-10.5728,-7.5134,-47.4075,0.0000,
0.6430,-0.1920,0.5082,0.9493,-0.8547,-0.2935,0.0318,986.7603,-12.2589,-3.5294,-46.2418,0.0000,
0.6750,-0.0663,0.3262,0.8452,-0.8547,-0.2935,0.0318,986.7603,-12.2589,-3.5294,-46.2418,0.0000,
0.6850,-0.0663,0.3262,0.8452,-0.8547,-0.2935,0.0318,986.7603,-12.2589,-3.5294,-46.2418,0.0000,
0.6900,-0.0663,0.3262,0.8452,0.8543,1.0214,1.1223,986.7603,-12.2589,-3.5294,-46.2418,0.0000,
0.6950,-0.0663,0.3262,0.8452,0.8543,1.0214,1.1223,986.7606,-12.2589,-3.5294,-46.2418,0.0000,
