
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0030,-0.1383,0.2912,1.0982,0.3496,-0.1236,0.1739,984.6240,25.1236,-22.0215,-41.7938,0.0000,
0.0050,-0.1383,0.2912,1.0982,0.3496,-0.1236,0.1739,984.6240,25.1236,-22.0215,-41.7938,0.0000,
0.0100,-0.1383,0.2912,1.0982,0.3496,-0.1236,0.1739,984.6240,23.0225,-22.7707,-43.8934,0.0000,
0.0130,-0.1383,0.2912,1.0982,0.3496,-0.1236,0.1739,984.6368,23.0225,-22.7707,-43.8934,0.0000,
0.0980,-0.0260,0.3026,0.7608,0.3496,-0.1236,0.1739,984.6368,23.0225,-22.7707,-43.8934,0.0000,
0.1980,-0.0260,0.3026,0.7608,0.4137,-0.6855,-0.3848,984.6368,23.0225,-22.7707,-43.8934,0.0000,
0.2000,-0.0260,0.3026,0.7608,0.4137,-0.6855,-0.3848,984.6368,23.0225,-22.7707,-43.8934,0.0000,
0.2050,-0.0260,0.3026,0.7608,0.4137,-0.6855,-0.3848,984.6368,21.8231,-24.8703,-42.6941,0.0000,
0.2150,-0.0260,0.3026,0.7608,0.4137,-0.6855,-0.3848,984.6236,21.8231,-24.8703,-42.6941,0.0000,
0.2990,0.0317,0.3801,1.1012,0.4137,-0.6855,-0.3848,984.6236,21.8231,-24.8703,-42.6941,0.0000,
0.4000,0.0317,0.3801,1.1012,-0.0275,-0.0873,-0.3741,984.6236,21.8231,-24.8703,-42.6941,0.0000,
0.4010,0.0317,0.3801,1.1012,-0.0275,-0.0873,-0.3741,984.6236,21.8231,-24.8703,-42.6941,0.0000,
0.4070,0.0317,0.3801,1.1012,-0.0275,-0.0873,-0.3741,984.6236,23.1735,-22.6212,-43.7439,0.0000,
0.4170,0.0317,0.3801,1.1012,-0.0275,-0.0873,-0.3741,984.6235,23.1735,-22.6212,-43.7439,0.0000,
0.4990,0.0333,0.2743,0.7945,-0.0275,-0.0873,-0.3741,984.6235,23.1735,-22.6212,-43.7439,0.0000,
0.6010,0.0333,0.2743,0.7945,0.0473,0.0879,0.0970,984.6235,23.1735,-22.6212,-43.7439,0.0000,
0.6050,0.0333,0.2743,0.7945,0.0473,0.0879,0.0970,984.6235,23.1735,-22.6212,-43.7439,0.0000,
0.6080,0.0333,0.2743,0.7945,0.0473,0.0879,0.0970,984.6235,24.0723,-23.2208,-42.0929,0.0000,
0.6180,0.0333,0.2743,0.7945,0.0473,0.0879,0.0970,984.6888,24.0723,-23.2208,-42.0929,0.0000,
0.6990,-0.0729,0.3962,1.0070,0.0473,0.0879,0.0970,984.6888,24.0723,-23.2208,-42.0929,0.0000,
0.7990,-0.0729,0.3962,1.0070,0.0473,0.0879,0.0970,984.6888,24.0723,-23.2208,-42.0929,0.0000,
0.8000,-0.0729,0.3962,1.0070,0.5952,-0.6737,-0.9883,984.6888,24.0723,-23.2208,-42.0929,0.0000,
0.8090,-0.0729,0.3962,1.0070,0.5952,-0.6737,-0.9883,984.6888,24.8230,-25.6210,-38.3438,0.0000,
0.8180,-0.0729,0.3962,1.0070,0.5952,-0.6737,-0.9883,984.6232,24.8230,-25.6210,-38.3438,0.0000,
0.9020,-0.2988,0.4491,1.2720,0.5952,-0.6737,-0.9883,984.6232,24.8230,-25.6210,-38.3438,0.0000,
0.9990,-0.2988,0.4491,1.2720,0.5952,-0.6737,-0.9883,984.6232,24.8230,-25.6210,-38.3438,0.0000,
1.0000,-0.2988,0.4491,1.2720,3.4311,1.5320,2.3955,984.6232,24.8230,-25.6210,-38.3438,0.0000,
1.0110,-0.2988,0.4491,1.2720,3.4311,1.5320,2.3955,984.6232,14.6225,-40.3214,-12.8433,0.0000,
1.0210,-0.2988,0.4491,1.2720,3.4311,1.5320,2.3955,984.6229,14.6225,-40.3214,-12.8433,0.0000,
1.1000,0.0055,0.5684,0.5245,3.4311,1.5320,2.3955,984.6229,14.6225,-40.3214,-12.8433,0.0000,
1.1990,0.0055,0.5684,0.5245,2.2615,2.6407,2.5130,984.6229,14.6225,-40.3214,-12.8433,0.0000,
1.2000,0.0055,0.5684,0.5245,2.2615,2.6407,2.5130,984.6229,14.6225,-40.3214,-12.8433,0.0000,
1.2120,0.0055,0.5684,0.5245,2.2615,2.6407,2.5130,984.6229,-12.2269,-33.7204,8.0063,0.0000,
1.2220,0.0055,0.5684,0.5245,2.2615,2.6407,2.5130,984.6227,-12.2269,-33.7204,8.0063,0.0000,
1.2990,0.2872,0.9842,0.2924,2.2615,2.6407,2.5130,984.6227,-12.2269,-33.7204,8.0063,0.0000,
1.3990,0.2872,0.9842,0.2924,2.2615,2.6407,2.5130,984.6227,-12.2269,-33.7204,8.0063,0.0000,
1.4000,0.2872,0.9842,0.2924,1.3547,0.1359,1.4471,984.6227,-12.2269,-33.7204,8.0063,0.0000,
1.4140,0.2872,0.9842,0.2924,1.3547,0.1359,1.4471,984.6227,-25.1266,-20.5215,12.6572,0.0000,
1.4240,0.2872,0.9842,0.2924,1.3547,0.1359,1.4471,984.5699,-25.1266,-20.5215,12.6572,0.0000,
1.4990,0.4180,0.4136,0.0705,1.3547,0.1359,1.4471,984.5699,-25.1266,-20.5215,12.6572,0.0000,
1.6000,0.4180,0.4136,0.0705,1.3547,0.1359,1.4471,984.5699,-25.1266,-20.5215,12.6572,0.0000,
1.6360,0.4180,0.4136,0.0705,0.8270,0.3613,0.8553,984.5699,-25.1266,-20.5215,12.6572,0.0000,
1.6370,0.4180,0.4136,0.0705,0.8270,0.3613,0.8553,984.5699,-30.6763,-8.8211,14.4562,0.0000,
1.6400,0.4180,0.4136,0.0705,0.8270,0.3613,0.8553,984.5699,-30.6763,-8.8211,14.4562,0.0000,
1.6980,0.9252,0.8337,-0.2840,0.8270,0.3613,0.8553,984.5699,-30.6763,-8.8211,14.4562,0.0000,
1.7980,0.9252,0.8337,-0.2840,-0.1845,-0.0072,0.3640,984.5699,-30.6763,-8.8211,14.4562,0.0000,
1.7990,0.9252,0.8337,-0.2840,-0.1845,-0.0072,0.3640,984.5699,-30.6763,-8.8211,14.4562,0.0000,
1.8160,0.9252,0.8337,-0.2840,-0.1845,-0.0072,0.3640,984.5699,-32.7774,-6.5704,12.9562,0.0000,
1.8250,0.9252,0.8337,-0.2840,-0.1845,-0.0072,0.3640,984.5433,-32.7774,-6.5704,12.9562,0.0000,
1.9190,0.6579,0.4583,-0.1417,-0.1845,-0.0072,0.3640,984.5433,-32.7774,-6.5704,12.9562,0.0000,
