
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0030,0.0796,0.3124,0.8327,-0.0501,-0.2598,0.1572,982.5881,-10.3745,-37.4237,-25.5615,0.0000,
0.0040,0.0796,0.3124,0.8327,-0.0501,-0.2598,0.1572,982.5881,-10.3745,-37.4237,-25.5615,0.0000,
0.0450,0.0577,0.4051,0.8353,-0.0501,-0.2598,0.1572,982.5881,-10.3745,-37.4237,-25.5615,0.0000,
0.0470,0.0577,0.4051,0.8353,-0.0501,-0.2598,0.1572,982.5881,-11.4243,-36.8240,-25.1114,0.0000,
0.0620,0.0577,0.4051,0.8353,-0.0501,-0.2598,0.1572,982.5881,-11.4243,-36.8240,-25.1114,0.0000,
0.1870,0.0577,0.4051,0.8353,0.2917,0.0788,0.4146,982.5881,-11.4243,-36.8240,-25.1114,0.0000,
0.1880,0.0577,0.4051,0.8353,0.2917,0.0788,0.4146,982.5881,-11.4243,-36.8240,-25.1114,0.0000,
0.2440,-0.0880,0.3231,1.0948,0.2917,0.0788,0.4146,982.5881,-11.4243,-36.8240,-25.1114,0.0000,
0.2520,-0.0880,0.3231,1.0948,0.2917,0.0788,0.4146,982.5881,-12.1735,-34.2728,-29.1611,0.0000,
0.2600,-0.0880,0.3231,1.0948,0.2917,0.0788,0.4146,982.5880,-12.1735,-34.2728,-29.1611,0.0000,
0.3870,-0.0880,0.3231,1.0948,0.4145,0.5979,0.1818,982.5880,-12.1735,-34.2728,-29.1611,0.0000,
0.3890,-0.0880,0.3231,1.0948,0.4145,0.5979,0.1818,982.5880,-12.1735,-34.2728,-29.1611,0.0000,
0.4410,0.0415,0.3773,0.7447,0.4145,0.5979,0.1818,982.5880,-12.1735,-34.2728,-29.1611,0.0000,
0.4510,0.0415,0.3773,0.7447,0.4145,0.5979,0.1818,982.5880,-13.8245,-36.3739,-24.9619,0.0000,
0.4630,0.0415,0.3773,0.7447,0.4145,0.5979,0.1818,982.6144,-13.8245,-36.3739,-24.9619,0.0000,
0.5910,0.0415,0.3773,0.7447,-0.2840,-0.3538,0.2063,982.6144,-13.8245,-36.3739,-24.9619,0.0000,
0.5950,0.0415,0.3773,0.7447,-0.2840,-0.3538,0.2063,982.6144,-13.8245,-36.3739,-24.9619,0.0000,
0.6420,0.1785,0.4669,1.1018,-0.2840,-0.3538,0.2063,982.6144,-13.8245,-36.3739,-24.9619,0.0000,
0.6530,0.1785,0.4669,1.1018,-0.2840,-0.3538,0.2063,982.6144,-13.3743,-37.4237,-24.2111,0.0000,
0.6640,0.1785,0.4669,1.1018,-0.2840,-0.3538,0.2063,982.6143,-13.3743,-37.4237,-24.2111,0.0000,
0.7940,0.1785,0.4669,1.1018,0.1934,-0.1445,-0.4153,982.6143,-13.3743,-37.4237,-24.2111,0.0000,
0.7990,0.1785,0.4669,1.1018,0.1934,-0.1445,-0.4153,982.6143,-13.3743,-37.4237,-24.2111,0.0000,
0.8460,0.0776,0.3346,0.7272,0.1934,-0.1445,-0.4153,982.6143,-13.3743,-37.4237,-24.2111,0.0000,
0.8600,0.0776,0.3346,0.7272,0.1934,-0.1445,-0.4153,982.6143,-9.6237,-38.9236,-23.3109,0.0000,
0.8710,0.0776,0.3346,0.7272,0.1934,-0.1445,-0.4153,982.6274,-9.6237,-38.9236,-23.3109,0.0000,
0.9920,0.0776,0.3346,0.7272,0.3590,-0.4093,0.3025,982.6274,-9.6237,-38.9236,-23.3109,0.0000,
0.9970,0.0776,0.3346,0.7272,0.3590,-0.4093,0.3025,982.6274,-9.6237,-38.9236,-23.3109,0.0000,
1.0470,-0.0042,0.4423,0.9369,0.3590,-0.4093,0.3025,982.6274,-9.6237,-38.9236,-23.3109,0.0000,
1.0550,-0.0042,0.4423,0.9369,0.3590,-0.4093,0.3025,982.6274,-11.2732,-38.4735,-23.1613,0.0000,
1.0660,-0.0042,0.4423,0.9369,0.3590,-0.4093,0.3025,982.6143,-11.2732,-38.4735,-23.1613,0.0000,
1.1920,-0.0042,0.4423,0.9369,0.3793,1.2441,0.5449,982.6143,-11.2732,-38.4735,-23.1613,0.0000,
1.1970,-0.0042,0.4423,0.9369,0.3793,1.2441,0.5449,982.6143,-11.2732,-38.4735,-23.1613,0.0000,
1.2480,-0.0716,0.4054,1.0344,0.3793,1.2441,0.5449,982.6143,-11.2732,-38.4735,-23.1613,0.0000,
1.2600,-0.0716,0.4054,1.0344,0.3793,1.2441,0.5449,982.6143,-11.5738,-37.5732,-24.3607,0.0000,
1.2750,-0.0716,0.4054,1.0344,0.3793,1.2441,0.5449,982.5618,-11.5738,-37.5732,-24.3607,0.0000,
1.4000,-0.0716,0.4054,1.0344,-0.9003,-1.0630,-0.4185,982.5618,-11.5738,-37.5732,-24.3607,0.0000,
1.4450,-0.0716,0.4054,1.0344,-0.9003,-1.0630,-0.4185,982.5618,-11.5738,-37.5732,-24.3607,0.0000,
1.4470,0.1358,0.4588,0.8451,-0.9003,-1.0630,-0.4185,982.5618,-11.5738,-37.5732,-24.3607,0.0000,
1.4580,0.1358,0.4588,0.8451,-0.9003,-1.0630,-0.4185,982.5618,-11.8744,-35.4736,-26.7609,0.0000,
1.4680,0.1358,0.4588,0.8451,-0.9003,-1.0630,-0.4185,982.6143,-11.8744,-35.4736,-26.7609,0.0000,
1.5860,0.1358,0.4588,0.8451,2.1139,2.1039,0.5770,982.6143,-11.8744,-35.4736,-26.7609,0.0000,
1.5870,0.1358,0.4588,0.8451,2.1139,2.1039,0.5770,982.6143,-11.8744,-35.4736,-26.7609,0.0000,
1.6450,-0.0801,0.5284,1.3838,2.1139,2.1039,0.5770,982.6143,-11.8744,-35.4736,-26.7609,0.0000,
1.6630,-0.0801,0.5284,1.3838,2.1139,2.1039,0.5770,982.6143,-13.9740,-41.6229,-10.1120,0.0000,
1.6740,-0.0801,0.5284,1.3838,2.1139,2.1039,0.5770,982.5618,-13.9740,-41.6229,-10.1120,0.0000,
1.7920,-0.0801,0.5284,1.3838,3.0442,1.3402,2.6662,982.5618,-13.9740,-41.6229,-10.1120,0.0000,
1.7960,-0.0801,0.5284,1.3838,3.0442,1.3402,2.6662,982.5618,-13.9740,-41.6229,-10.1120,0.0000,
