
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0090,-0.0116,0.3590,1.0330,-0.0308,-0.0031,-0.4905,984.5881,-27.9770,0.9293,-43.5928,1983.0000,
0.0110,-0.0116,0.3590,1.0330,-0.0308,-0.0031,-0.4905,984.5881,-27.9770,0.9293,-43.5928,1917.0000,
0.0120,-0.0116,0.3590,1.0330,0.0290,-0.1825,-0.4104,984.5881,-27.9770,0.9293,-43.5928,1917.0000,
0.0140,-0.0116,0.3590,1.0330,0.0290,-0.1825,-0.4104,984.5881,-27.9770,0.9293,-43.5928,1917.0000,
0.0720,0.0270,0.2792,0.9567,0.0290,-0.1825,-0.4104,984.5881,-27.9770,0.9293,-43.5928,1917.0000,
0.0830,0.0270,0.2792,0.9567,0.0290,-0.1825,-0.4104,984.5881,-27.9770,0.9293,-43.5928,1957.0000,
0.1180,0.0270,0.2792,0.9567,0.0290,-0.1825,-0.4104,984.5881,-27.6764,-1.3214,-42.3935,1957.0000,
0.1280,0.0270,0.2792,0.9567,0.0290,-0.1825,-0.4104,984.5618,-27.6764,-1.3214,-42.3935,1957.0000,
0.1780,0.0270,0.2792,0.9567,0.0290,-0.1825,-0.4104,984.5618,-27.6764,-1.3214,-42.3935,1957.0000,
0.1800,0.0270,0.2792,0.9567,-0.4805,1.0778,-0.0109,984.5618,-27.6764,-1.3214,-42.3935,1957.0000,
0.2470,0.0270,0.2792,0.9567,-0.4805,1.0778,-0.0109,984.5618,-27.6764,-1.3214,-42.3935,2098.0000,
0.2770,-0.1052,0.3110,0.9023,-0.4805,1.0778,-0.0109,984.5618,-27.6764,-1.3214,-42.3935,2098.0000,
0.3200,-0.1052,0.3110,0.9023,-0.4805,1.0778,-0.0109,984.5618,-21.9772,1.8295,-46.8933,2098.0000,
0.3290,-0.1052,0.3110,0.9023,-0.4805,1.0778,-0.0109,984.6143,-21.9772,1.8295,-46.8933,2098.0000,
0.3770,-0.1052,0.3110,0.9023,0.4285,0.8471,0.8810,984.6143,-21.9772,1.8295,-46.8933,2098.0000,
0.3790,-0.1052,0.3110,0.9023,0.4285,0.8471,0.8810,984.6143,-21.9772,1.8295,-46.8933,2098.0000,
0.4080,-0.1052,0.3110,0.9023,0.4285,0.8471,0.8810,984.6143,-21.9772,1.8295,-46.8933,2110.0000,
0.4720,-0.2840,0.2834,1.1127,0.4285,0.8471,0.8810,984.6143,-21.9772,1.8295,-46.8933,2110.0000,
0.4920,-0.2840,0.2834,1.1127,0.4285,0.8471,0.8810,984.6143,-21.9772,1.8295,-46.8933,2312.0000,
0.5230,-0.2840,0.2834,1.1127,0.4285,0.8471,0.8810,984.6143,-14.6271,4.2297,-50.4929,2312.0000,
0.5320,-0.2840,0.2834,1.1127,0.4285,0.8471,0.8810,984.5881,-14.6271,4.2297,-50.4929,2312.0000,
0.5770,-0.2840,0.2834,1.1127,0.4285,0.8471,0.8810,984.5881,-14.6271,4.2297,-50.4929,2312.0000,
0.5790,-0.2840,0.2834,1.1127,0.4285,0.8471,0.8810,984.5881,-14.6271,4.2297,-50.4929,2080.0000,
0.5800,-0.2840,0.2834,1.1127,0.6517,-0.5169,0.6460,984.5881,-14.6271,4.2297,-50.4929,2080.0000,
0.6580,-0.2840,0.2834,1.1127,0.6517,-0.5169,0.6460,984.5881,-14.6271,4.2297,-50.4929,2027.0000,
0.6720,-0.1363,0.3768,0.7187,0.6517,-0.5169,0.6460,984.5881,-14.6271,4.2297,-50.4929,2027.0000,
0.7230,-0.1363,0.3768,0.7187,0.6517,-0.5169,0.6460,984.5881,-19.4275,5.7297,-47.1939,2027.0000,
0.7330,-0.1363,0.3768,0.7187,0.6517,-0.5169,0.6460,984.5880,-19.4275,5.7297,-47.1939,2027.0000,
0.7810,-0.1363,0.3768,0.7187,1.0191,-0.6632,-0.4136,984.5880,-19.4275,5.7297,-47.1939,2027.0000,
0.7860,-0.1363,0.3768,0.7187,1.0191,-0.6632,-0.4136,984.5880,-19.4275,5.7297,-47.1939,2027.0000,
0.8250,-0.1363,0.3768,0.7187,1.0191,-0.6632,-0.4136,984.5880,-19.4275,5.7297,-47.1939,1897.0000,
0.8760,-0.0121,0.3833,0.7707,1.0191,-0.6632,-0.4136,984.5880,-19.4275,5.7297,-47.1939,1897.0000,
0.9030,-0.0121,0.3833,0.7707,1.0191,-0.6632,-0.4136,984.5880,-19.4275,5.7297,-47.1939,1738.0000,
0.9240,-0.0121,0.3833,0.7707,1.0191,-0.6632,-0.4136,984.5880,-22.5769,-5.9708,-44.0430,1738.0000,
0.9340,-0.0121,0.3833,0.7707,1.0191,-0.6632,-0.4136,984.5881,-22.5769,-5.9708,-44.0430,1738.0000,
0.9770,-0.0121,0.3833,0.7707,-1.1353,-1.1406,-0.5525,984.5881,-22.5769,-5.9708,-44.0430,1738.0000,
0.9790,-0.0121,0.3833,0.7707,-1.1353,-1.1406,-0.5525,984.5881,-22.5769,-5.9708,-44.0430,1738.0000,
1.0650,-0.0121,0.3833,0.7707,-1.1353,-1.1406,-0.5525,984.5881,-22.5769,-5.9708,-44.0430,1880.0000,
1.0710,-0.0107,0.5994,0.9432,-1.1353,-1.1406,-0.5525,984.5881,-22.5769,-5.9708,-44.0430,1880.0000,
1.1270,-0.0107,0.5994,0.9432,-1.1353,-1.1406,-0.5525,984.5881,-25.7263,-3.1204,-42.6941,1880.0000,
1.1360,-0.0107,0.5994,0.9432,-1.1353,-1.1406,-0.5525,984.6143,-25.7263,-3.1204,-42.6941,1880.0000,
1.1780,-0.0107,0.5994,0.9432,-0.4912,-0.3203,-0.4286,984.6143,-25.7263,-3.1204,-42.6941,1880.0000,
1.1800,-0.0107,0.5994,0.9432,-0.4912,-0.3203,-0.4286,984.6143,-25.7263,-3.1204,-42.6941,1880.0000,
1.2310,-0.0107,0.5994,0.9432,-0.4912,-0.3203,-0.4286,984.6143,-25.7263,-3.1204,-42.6941,1921.0000,
1.2720,0.0437,0.4176,0.8899,-0.4912,-0.3203,-0.4286,984.6143,-25.7263,-3.1204,-42.6941,1921.0000,
1.3270,0.0437,0.4176,0.8899,-0.4912,-0.3203,-0.4286,984.6143,-24.8276,-3.8712,-41.7938,1921.0000,
1.3360,0.0437,0.4176,0.8899,-0.4912,-0.3203,-0.4286,984.6143,-24.8276,-3.8712,-41.7938,1921.0000,
1.3770,0.0437,0.4176,0.8899,0.0450,-0.0405,0.0457,984.6143,-24.8276,-3.8712,-41.7938,1921.0000,
1.3790,0.0437,0.4176,0.8899,0.0450,-0.0405,0.0457,984.6143,-24.8276,-3.8712,-41.7938,1921.0000,
1.4750,-0.0033,0.4382,0.8337,0.0450,-0.0405,0.0457,984.6143,-24.8276,-3.8712,-41.7938,1921.0000,
1.5710,-0.0033,0.4382,0.8337,0.0450,-0.0405,0.0457,984.6143,-24.8276,-3.8712,-41.7938,1997.0000,
1.5720,-0.0033,0.4382,0.8337,0.0450,-0.0405,0.0457,984.6143,-27.0767,0.3296,-40.5930,1997.0000,
1.5740,-0.0033,0.4382,0.8337,0.0450,-0.0405,0.0457,984.6274,-27.0767,0.3296,-40.5930,1997.0000,
1.5770,-0.0033,0.4382,0.8337,0.7425,0.6784,1.2633,984.6274,-27.0767,0.3296,-40.5930,1997.0000,
1.5780,-0.0033,0.4382,0.8337,0.7425,0.6784,1.2633,984.6274,-27.0767,0.3296,-40.5930,1997.0000,
1.6730,-0.0033,0.4382,0.8337,0.7425,0.6784,1.2633,984.6274,-27.0767,0.3296,-40.5930,1509.0000,
1.6750,-0.0503,0.4537,1.6440,0.7425,0.6784,1.2633,984.6274,-27.0767,0.3296,-40.5930,1509.0000,
1.7290,-0.0503,0.4537,1.6440,0.7425,0.6784,1.2633,984.6274,-15.8264,-13.3209,-46.4432,1509.0000,
1.7390,-0.0503,0.4537,1.6440,0.7425,0.6784,1.2633,984.6143,-15.8264,-13.3209,-46.4432,1509.0000,
1.7550,-0.0503,0.4537,1.6440,0.7425,0.6784,1.2633,984.6143,-15.8264,-13.3209,-46.4432,598.0000,
1.7770,-0.0503,0.4537,1.6440,4.3848,3.4704,3.9529,984.6143,-15.8264,-13.3209,-46.4432,598.0000,
1.7780,-0.0503,0.4537,1.6440,4.3848,3.4704,3.9529,984.6143,-15.8264,-13.3209,-46.4432,598.0000,
1.8980,-0.0503,0.4537,1.6440,4.3848,3.4704,3.9529,984.6143,-15.8264,-13.3209,-46.4432,381.0000,
1.8990,0.2759,0.2580,0.2742,4.3848,3.4704,3.9529,984.6143,-15.8264,-13.3209,-46.4432,381.0000,
1.9230,0.2759,0.2580,0.2742,4.3848,3.4704,3.9529,984.6143,-15.8264,-13.3209,-46.4432,315.0000,
1.9310,0.2759,0.2580,0.2742,4.3848,3.4704,3.9529,984.6143,-14.0274,-21.7209,-40.8936,315.0000,
1.9400,0.2759,0.2580,0.2742,4.3848,3.4704,3.9529,984.5618,-14.0274,-21.7209,-40.8936,315.0000,
1.9770,0.2759,0.2580,0.2742,0.8172,0.2949,1.5261,984.5618,-14.0274,-21.7209,-40.8936,315.0000,
1.9810,0.2759,0.2580,0.2742,0.8172,0.2949,1.5261,984.5618,-14.0274,-21.7209,-40.8936,315.0000,
2.0050,0.2759,0.2580,0.2742,0.8172,0.2949,1.5261,984.5618,-14.0274,-21.7209,-40.8936,316.0000,
2.0740,0.8273,0.5684,-0.1982,0.8172,0.2949,1.5261,984.5618,-14.0274,-21.7209,-40.8936,316.0000,
2.1340,0.8273,0.5684,-0.1982,0.8172,0.2949,1.5261,984.5618,-20.0272,-18.1213,-41.1942,316.0000,
2.1430,0.8273,0.5684,-0.1982,0.8172,0.2949,1.5261,984.5618,-20.0272,-18.1213,-41.1942,316.0000,
2.1710,0.8273,0.5684,-0.1982,0.8172,0.2949,1.5261,984.5618,-20.0272,-18.1213,-41.1942,320.0000,
2.1830,0.8273,0.5684,-0.1982,0.8172,0.2949,1.5261,984.5618,-20.0272,-18.1213,-41.1942,320.0000,
2.1880,0.8273,0.5684,-0.1982,-0.2915,-0.2659,0.4046,984.5618,-20.0272,-18.1213,-41.1942,320.0000,
2.2500,0.8273,0.5684,-0.1982,-0.2915,-0.2659,0.4046,984.5618,-20.0272,-18.1213,-41.1942,288.0000,
