
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0080,0.0141,0.4117,0.8086,-0.3532,-0.2005,-0.4991,984.7527,-32.7774,1.3794,-46.5927,0.0000,
0.0090,0.0141,0.4117,0.8086,-0.3532,-0.2005,-0.4991,984.7527,-32.7774,1.3794,-46.5927,0.0000,
0.0800,0.0141,0.4117,0.8086,-0.3532,-0.2005,-0.4991,984.7527,-32.0267,-1.3214,-46.7438,0.0000,
0.0820,-0.0068,0.4294,1.0635,-0.3532,-0.2005,-0.4991,984.7527,-32.0267,-1.3214,-46.7438,0.0000,
0.0940,-0.0068,0.4294,1.0635,-0.3532,-0.2005,-0.4991,984.7919,-32.0267,-1.3214,-46.7438,0.0000,
0.1960,-0.0068,0.4294,1.0635,0.1253,-0.0296,-0.3762,984.7919,-32.0267,-1.3214,-46.7438,0.0000,
0.1980,-0.0068,0.4294,1.0635,0.1253,-0.0296,-0.3762,984.7919,-32.0267,-1.3214,-46.7438,0.0000,
0.2820,-0.0068,0.4294,1.0635,0.1253,-0.0296,-0.3762,984.7919,-31.7276,-3.1204,-46.1441,0.0000,
0.2920,-0.0068,0.4294,1.0635,0.1253,-0.0296,-0.3762,984.7655,-31.7276,-3.1204,-46.1441,0.0000,
0.3010,-0.0051,0.2894,0.8654,0.1253,-0.0296,-0.3762,984.7655,-31.7276,-3.1204,-46.1441,0.0000,
0.4010,-0.0051,0.2894,0.8654,0.0612,0.0312,-0.0120,984.7655,-31.7276,-3.1204,-46.1441,0.0000,
0.4020,-0.0051,0.2894,0.8654,0.0612,0.0312,-0.0120,984.7655,-31.7276,-3.1204,-46.1441,0.0000,
0.4820,-0.0051,0.2894,0.8654,0.0612,0.0312,-0.0120,984.7655,-31.8771,-3.7216,-46.5927,0.0000,
0.4920,-0.0051,0.2894,0.8654,0.0612,0.0312,-0.0120,984.7654,-31.8771,-3.7216,-46.5927,0.0000,
0.5020,0.0000,0.3894,0.8363,0.0612,0.0312,-0.0120,984.7654,-31.8771,-3.7216,-46.5927,0.0000,
0.6000,0.0000,0.3894,0.8363,-0.5487,0.7992,0.4142,984.7654,-31.8771,-3.7216,-46.5927,0.0000,
0.6050,0.0000,0.3894,0.8363,-0.5487,0.7992,0.4142,984.7654,-31.8771,-3.7216,-46.5927,0.0000,
0.6910,0.0000,0.3894,0.8363,-0.5487,0.7992,0.4142,984.7654,-29.7775,-0.2716,-49.2935,0.0000,
0.6970,0.0000,0.3894,0.8363,-0.5487,0.7992,0.4142,984.8177,-29.7775,-0.2716,-49.2935,0.0000,
0.7000,-0.1054,0.3924,1.0732,-0.5487,0.7992,0.4142,984.8177,-29.7775,-0.2716,-49.2935,0.0000,
0.7950,-0.1054,0.3924,1.0732,0.1274,-0.2283,0.5872,984.8177,-29.7775,-0.2716,-49.2935,0.0000,
0.7960,-0.1054,0.3924,1.0732,0.1274,-0.2283,0.5872,984.8177,-29.7775,-0.2716,-49.2935,0.0000,
0.8980,-0.1054,0.3924,1.0732,0.1274,-0.2283,0.5872,984.8177,-32.0267,1.8295,-48.3932,0.0000,
0.9010,-0.1054,0.3924,1.0732,0.1274,-0.2283,0.5872,984.7651,-32.0267,1.8295,-48.3932,0.0000,
0.9020,-0.0504,0.3432,0.7786,0.1274,-0.2283,0.5872,984.7651,-32.0267,1.8295,-48.3932,0.0000,
0.9940,-0.0504,0.3432,0.7786,-0.0777,-0.2977,0.0094,984.7651,-32.0267,1.8295,-48.3932,0.0000,
0.9950,-0.0504,0.3432,0.7786,-0.0777,-0.2977,0.0094,984.7651,-32.0267,1.8295,-48.3932,0.0000,
1.0860,-0.0504,0.3432,0.7786,-0.0777,-0.2977,0.0094,984.7651,-33.5266,1.9791,-46.4432,0.0000,
1.0960,-0.0504,0.3432,0.7786,-0.0777,-0.2977,0.0094,984.7911,-33.5266,1.9791,-46.4432,0.0000,
1.0980,0.0466,0.4335,0.8739,-0.0777,-0.2977,0.0094,984.7911,-33.5266,1.9791,-46.4432,0.0000,
1.1930,0.0466,0.4335,0.8739,-0.0360,0.0975,-0.4820,984.7911,-33.5266,1.9791,-46.4432,0.0000,
1.1940,0.0466,0.4335,0.8739,-0.0360,0.0975,-0.4820,984.7911,-33.5266,1.9791,-46.4432,0.0000,
1.2880,0.0466,0.4335,0.8739,-0.0360,0.0975,-0.4820,984.7911,-32.1777,-2.3712,-47.0428,0.0000,
1.3000,0.0472,0.3498,1.0872,-0.0360,0.0975,-0.4820,984.7911,-32.1777,-2.3712,-47.0428,0.0000,
1.3020,0.0472,0.3498,1.0872,-0.0360,0.0975,-0.4820,984.7649,-32.1777,-2.3712,-47.0428,0.0000,
1.3930,0.0472,0.3498,1.0872,-0.0360,0.0975,-0.4820,984.7649,-32.1777,-2.3712,-47.0428,0.0000,
1.3950,0.0472,0.3498,1.0872,0.1541,-0.2368,-0.4830,984.7649,-32.1777,-2.3712,-47.0428,0.0000,
1.4900,0.0472,0.3498,1.0872,0.1541,-0.2368,-0.4830,984.7649,-31.5765,-4.6204,-46.1441,0.0000,
1.4970,-0.0125,0.3354,0.7464,0.1541,-0.2368,-0.4830,984.7649,-31.5765,-4.6204,-46.1441,0.0000,
1.4990,-0.0125,0.3354,0.7464,0.1541,-0.2368,-0.4830,984.7911,-31.5765,-4.6204,-46.1441,0.0000,
1.5990,-0.0125,0.3354,0.7464,-0.0627,0.1402,-0.0526,984.7911,-31.5765,-4.6204,-46.1441,0.0000,
1.6100,-0.0125,0.3354,0.7464,-0.0627,0.1402,-0.0526,984.7911,-31.5765,-4.6204,-46.1441,0.0000,
1.6900,-0.0125,0.3354,0.7464,-0.0627,0.1402,-0.0526,984.7911,-31.1264,-4.0207,-46.5927,0.0000,
1.6970,-0.0188,0.4400,0.8924,-0.0627,0.1402,-0.0526,984.7911,-31.1264,-4.0207,-46.5927,0.0000,
1.7010,-0.0188,0.4400,0.8924,-0.0627,0.1402,-0.0526,984.7253,-31.1264,-4.0207,-46.5927,0.0000,
1.7920,-0.0188,0.4400,0.8924,-0.0627,0.1402,-0.0526,984.7253,-31.1264,-4.0207,-46.5927,0.0000,
1.7930,-0.0188,0.4400,0.8924,0.2599,0.1028,0.1183,984.7253,-31.1264,-4.0207,-46.5927,0.0000,
1.8920,-0.0188,0.4400,0.8924,0.2599,0.1028,0.1183,984.7253,-30.6763,-1.6205,-48.0942,0.0000,
1.8960,-0.0908,0.3104,1.0880,0.2599,0.1028,0.1183,984.7253,-30.6763,-1.6205,-48.0942,0.0000,
1.9010,-0.0908,0.3104,1.0880,0.2599,0.1028,0.1183,984.7908,-30.6763,-1.6205,-48.0942,0.0000,
1.9910,-0.0908,0.3104,1.0880,-0.0456,-0.3148,0.2411,984.7908,-30.6763,-1.6205,-48.0942,0.0000,
1.9930,-0.0908,0.3104,1.0880,-0.0456,-0.3148,0.2411,984.7908,-30.6763,-1.6205,-48.0942,0.0000,
2.0930,-0.0908,0.3104,1.0880,-0.0456,-0.3148,0.2411,984.7908,-32.6263,-0.2716,-46.2936,0.0000,
2.0960,0.0046,0.3616,0.7228,-0.0456,-0.3148,0.2411,984.7908,-32.6263,-0.2716,-46.2936,0.0000,
2.1030,0.0046,0.3616,0.7228,-0.0456,-0.3148,0.2411,984.7514,-32.6263,-0.2716,-46.2936,0.0000,
