
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0060,-0.1582,0.4441,0.8599,0.0887,0.0179,0.0675,982.4167,-25.3738,-6.2241,-39.8117,0.0000,
0.0200,-0.1582,0.4441,0.8599,0.0887,0.0179,0.0675,982.4167,-26.2741,-5.3238,-39.5111,0.0000,
0.0210,-0.1582,0.4441,0.8599,0.0887,0.0179,0.0675,982.4561,-26.2741,-5.3238,-39.5111,0.0000,
0.0960,-0.1582,0.4441,0.8599,0.0887,0.0179,0.0675,982.4561,-26.2741,-5.3238,-39.5111,0.0000,
0.0980,-0.1582,0.4441,0.8599,-0.0320,-0.1989,-0.1579,982.4561,-26.2741,-5.3238,-39.5111,0.0000,
0.1620,-0.1284,0.4773,0.8809,-0.0320,-0.1989,-0.1579,982.4561,-26.2741,-5.3238,-39.5111,0.0000,
0.2120,-0.1284,0.4773,0.8809,-0.0320,-0.1989,-0.1579,982.4561,-27.9236,-5.6229,-38.6108,0.0000,
0.2210,-0.1284,0.4773,0.8809,-0.0320,-0.1989,-0.1579,982.4298,-27.9236,-5.6229,-38.6108,0.0000,
0.2960,-0.1284,0.4773,0.8809,0.0385,-0.2171,-0.1290,982.4298,-27.9236,-5.6229,-38.6108,0.0000,
0.2970,-0.1284,0.4773,0.8809,0.0385,-0.2171,-0.1290,982.4298,-27.9236,-5.6229,-38.6108,0.0000,
0.3610,-0.0761,0.4198,0.9498,0.0385,-0.2171,-0.1290,982.4298,-27.9236,-5.6229,-38.6108,0.0000,
0.4150,-0.0761,0.4198,0.9498,0.0385,-0.2171,-0.1290,982.4298,-29.7241,-7.8735,-37.5610,0.0000,
0.4220,-0.0761,0.4198,0.9498,0.0385,-0.2171,-0.1290,982.4297,-29.7241,-7.8735,-37.5610,0.0000,
0.5040,-0.0761,0.4198,0.9498,0.0321,-0.0985,-0.1579,982.4297,-29.7241,-7.8735,-37.5610,0.0000,
0.5090,-0.0761,0.4198,0.9498,0.0321,-0.0985,-0.1579,982.4297,-29.7241,-7.8735,-37.5610,0.0000,
0.5700,0.0037,0.3288,0.9435,0.0321,-0.0985,-0.1579,982.4297,-29.7241,-7.8735,-37.5610,0.0000,
0.6190,0.0037,0.3288,0.9435,0.0321,-0.0985,-0.1579,982.4297,-28.6743,-9.0729,-36.9614,0.0000,
0.6270,0.0037,0.3288,0.9435,0.0321,-0.0985,-0.1579,982.4297,-28.6743,-9.0729,-36.9614,0.0000,
0.7030,0.0037,0.3288,0.9435,-0.1559,-0.1882,0.0205,982.4297,-28.6743,-9.0729,-36.9614,0.0000,
0.7070,0.0037,0.3288,0.9435,-0.1559,-0.1882,0.0205,982.4297,-28.6743,-9.0729,-36.9614,0.0000,
0.7640,0.0245,0.4265,0.8961,-0.1559,-0.1882,0.0205,982.4297,-28.6743,-9.0729,-36.9614,0.0000,
0.8220,0.0245,0.4265,0.8961,-0.1559,-0.1882,0.0205,982.4297,-28.3737,-7.5729,-38.0112,0.0000,
0.8290,0.0245,0.4265,0.8961,-0.1559,-0.1882,0.0205,982.4166,-28.3737,-7.5729,-38.0112,0.0000,
0.9000,0.0245,0.4265,0.8961,-0.2509,0.5253,0.0568,982.4166,-28.3737,-7.5729,-38.0112,0.0000,
0.9040,0.0245,0.4265,0.8961,-0.2509,0.5253,0.0568,982.4166,-28.3737,-7.5729,-38.0112,0.0000,
